date,GROUP,Interest,REGION
2018-05-20,Keith Ape,22,TW
2018-05-27,Keith Ape,22,TW
2018-06-03,Keith Ape,22,TW
2018-06-10,Keith Ape,28,TW
2018-06-17,Keith Ape,8,TW
2018-06-24,Keith Ape,0,TW
2018-07-01,Keith Ape,0,TW
2018-07-08,Keith Ape,10,TW
2018-07-15,Keith Ape,5,TW
2018-07-22,Keith Ape,0,TW
2018-07-29,Keith Ape,8,TW
2018-08-05,Keith Ape,6,TW
2018-08-12,Keith Ape,11,TW
2018-08-19,Keith Ape,5,TW
2018-08-26,Keith Ape,10,TW
2018-09-02,Keith Ape,17,TW
2018-09-09,Keith Ape,11,TW
2018-09-16,Keith Ape,6,TW
2018-09-23,Keith Ape,6,TW
2018-09-30,Keith Ape,11,TW
2018-10-07,Keith Ape,17,TW
2018-10-14,Keith Ape,5,TW
2018-10-21,Keith Ape,9,TW
2018-10-28,Keith Ape,0,TW
2018-11-04,Keith Ape,13,TW
2018-11-11,Keith Ape,4,TW
2018-11-18,Keith Ape,4,TW
2018-11-25,Keith Ape,5,TW
2018-12-02,Keith Ape,4,TW
2018-12-09,Keith Ape,9,TW
2018-12-16,Keith Ape,5,TW
2018-12-23,Keith Ape,9,TW
2018-12-30,Keith Ape,8,TW
2019-01-06,Keith Ape,0,TW
2019-01-13,Keith Ape,0,TW
2019-01-20,Keith Ape,4,TW
2019-01-27,Keith Ape,9,TW
2019-02-03,Keith Ape,4,TW
2019-02-10,Keith Ape,0,TW
2019-02-17,Keith Ape,5,TW
2019-02-24,Keith Ape,4,TW
2019-03-03,Keith Ape,4,TW
2019-03-10,Keith Ape,13,TW
2019-03-17,Keith Ape,5,TW
2019-03-24,Keith Ape,6,TW
2019-03-31,Keith Ape,8,TW
2019-04-07,Keith Ape,0,TW
2019-04-14,Keith Ape,4,TW
2019-04-21,Keith Ape,0,TW
2019-04-28,Keith Ape,0,TW
2019-05-05,Keith Ape,5,TW
2019-05-12,Keith Ape,0,TW
2019-05-19,Keith Ape,12,TW
2019-05-26,Keith Ape,0,TW
2015-01-04,Kohh,47,TW
2015-01-11,Kohh,0,TW
2015-01-18,Kohh,0,TW
2015-01-25,Kohh,0,TW
2015-02-01,Kohh,0,TW
2015-02-08,Kohh,47,TW
2015-02-15,Kohh,0,TW
2015-02-22,Kohh,0,TW
2015-03-01,Kohh,0,TW
2015-03-08,Kohh,49,TW
2015-03-15,Kohh,0,TW
2015-03-22,Kohh,95,TW
2015-03-29,Kohh,0,TW
2015-04-05,Kohh,0,TW
2015-04-12,Kohh,0,TW
2015-04-19,Kohh,0,TW
2015-04-26,Kohh,0,TW
2015-05-03,Kohh,0,TW
2015-05-10,Kohh,0,TW
2015-05-17,Kohh,0,TW
2015-05-24,Kohh,0,TW
2015-05-31,Kohh,0,TW
2015-06-07,Kohh,46,TW
2015-06-14,Kohh,0,TW
2015-06-21,Kohh,45,TW
2015-06-28,Kohh,0,TW
2015-07-05,Kohh,0,TW
2015-07-12,Kohh,0,TW
2015-07-19,Kohh,0,TW
2015-07-26,Kohh,0,TW
2015-08-02,Kohh,0,TW
2015-08-09,Kohh,0,TW
2015-08-16,Kohh,43,TW
2015-08-23,Kohh,0,TW
2015-08-30,Kohh,0,TW
2015-09-06,Kohh,0,TW
2015-09-13,Kohh,48,TW
2015-09-20,Kohh,0,TW
2015-09-27,Kohh,44,TW
2015-10-04,Kohh,46,TW
2015-10-11,Kohh,49,TW
2015-10-18,Kohh,46,TW
2015-10-25,Kohh,93,TW
2015-11-01,Kohh,47,TW
2015-11-08,Kohh,45,TW
2015-11-15,Kohh,0,TW
2015-11-22,Kohh,48,TW
2015-11-29,Kohh,0,TW
2015-12-06,Kohh,0,TW
2015-12-13,Kohh,0,TW
2015-12-20,Kohh,47,TW
2015-12-27,Kohh,0,TW
2016-01-03,Kohh,47,TW
2016-01-10,Kohh,0,TW
2016-01-17,Kohh,48,TW
2016-01-24,Kohh,0,TW
2016-01-31,Kohh,50,TW
2016-02-07,Kohh,63,TW
2016-02-14,Kohh,0,TW
2016-02-21,Kohh,52,TW
2016-02-28,Kohh,0,TW
2016-03-06,Kohh,59,TW
2016-03-13,Kohh,0,TW
2016-03-20,Kohh,46,TW
2016-03-27,Kohh,0,TW
2016-04-03,Kohh,0,TW
2016-04-10,Kohh,85,TW
2016-04-17,Kohh,48,TW
2016-04-24,Kohh,0,TW
2016-05-01,Kohh,51,TW
2016-05-08,Kohh,51,TW
2016-05-15,Kohh,0,TW
2016-05-22,Kohh,98,TW
2016-05-29,Kohh,49,TW
2016-06-05,Kohh,47,TW
2016-06-12,Kohh,0,TW
2016-06-19,Kohh,0,TW
2016-06-26,Kohh,0,TW
2016-07-03,Kohh,0,TW
2016-07-10,Kohh,0,TW
2016-07-17,Kohh,0,TW
2016-07-24,Kohh,0,TW
2016-07-31,Kohh,0,TW
2016-08-07,Kohh,0,TW
2016-08-14,Kohh,75,TW
2016-08-21,Kohh,0,TW
2016-08-28,Kohh,55,TW
2016-09-04,Kohh,0,TW
2016-09-11,Kohh,51,TW
2016-09-18,Kohh,0,TW
2016-09-25,Kohh,0,TW
2016-10-02,Kohh,0,TW
2016-10-09,Kohh,0,TW
2016-10-16,Kohh,0,TW
2016-10-23,Kohh,50,TW
2016-10-30,Kohh,0,TW
2016-11-06,Kohh,0,TW
2016-11-13,Kohh,53,TW
2016-11-20,Kohh,0,TW
2016-11-27,Kohh,0,TW
2016-12-04,Kohh,0,TW
2016-12-11,Kohh,0,TW
2016-12-18,Kohh,0,TW
2016-12-25,Kohh,0,TW
2017-01-01,Kohh,0,TW
2017-01-08,Kohh,0,TW
2017-01-15,Kohh,0,TW
2017-01-22,Kohh,0,TW
2017-01-29,Kohh,0,TW
2017-02-05,Kohh,52,TW
2017-02-12,Kohh,0,TW
2017-02-19,Kohh,0,TW
2017-02-26,Kohh,51,TW
2017-03-05,Kohh,0,TW
2017-03-12,Kohh,0,TW
2017-03-19,Kohh,0,TW
2017-03-26,Kohh,0,TW
2017-04-02,Kohh,0,TW
2017-04-09,Kohh,0,TW
2017-04-16,Kohh,47,TW
2017-04-23,Kohh,49,TW
2017-04-30,Kohh,0,TW
2017-05-07,Kohh,0,TW
2017-05-14,Kohh,0,TW
2017-05-21,Kohh,0,TW
2017-05-28,Kohh,0,TW
2017-06-04,Kohh,0,TW
2017-06-11,Kohh,0,TW
2017-06-18,Kohh,0,TW
2017-06-25,Kohh,0,TW
2017-07-02,Kohh,0,TW
2017-07-09,Kohh,100,TW
2017-07-16,Kohh,0,TW
2017-07-23,Kohh,49,TW
2017-07-30,Kohh,0,TW
2017-08-06,Kohh,14,TW
2017-08-13,Kohh,7,TW
2017-08-20,Kohh,7,TW
2017-08-27,Kohh,7,TW
2017-09-03,Kohh,8,TW
2017-09-10,Kohh,8,TW
2017-09-17,Kohh,8,TW
2017-09-24,Kohh,0,TW
2017-10-01,Kohh,0,TW
2017-10-08,Kohh,7,TW
2017-10-15,Kohh,8,TW
2017-10-22,Kohh,8,TW
2017-10-29,Kohh,8,TW
2017-11-05,Kohh,12,TW
2017-11-12,Kohh,0,TW
2017-11-19,Kohh,0,TW
2017-11-26,Kohh,0,TW
2017-12-03,Kohh,0,TW
2017-12-10,Kohh,0,TW
